model,question,answer,attempt_1,attempt_2,attempt_3,attempt_4,attempt_5,attempt_6,attempt_7,attempt_8,attempt_9,attempt_10
gemini_25_pro,31,A,A,A,A,A,A,A,A,A,A,A
gemini_25_pro,32,C,C,C,C,C,C,C,C,C,C,C
gemini_25_pro,34,D,D,D,D,D,D,D,D,D,D,D
gemini_25_pro,35,D,D,D,D,D,D,D,D,D,D,D
deepseek_r1,9,C,C,C,C,C,C,C,C,C,C,C
deepseek_r1,10,E,E,E,E,E,E,D,E,E,E,D
deepseek_r1,11,C,C,C,C,C,D,C,C,D,C,C
deepseek_r1,12,B,B,B,B,B,B,B,B,B,B,B
deepseek_r1,13,D,E,D,E,D,D,E,X,D,E,X
deepseek_r1,14,C,C,C,C,C,C,C,C,C,C,C
deepseek_r1,15,D,D,D,D,D,D,D,D,D,D,D
deepseek_r1,16,A,A,A,A,A,A,A,A,A,A,A
deepseek_r1,17,C,C,B,D,C,C,B,C,C,C,D
deepseek_r1,18,B,B,B,B,B,B,B,B,B,C,B
deepseek_r1,19,A,B,B,B,B,B,B,B,B,B,D
deepseek_r1,20,B,A,A,X,B,B,B,X,B,X,X
deepseek_r1,21,C,D,D,X,D,D,X,X,D,X,D
deepseek_r1,22,E,D,E,X,D,X,E,X,E,X,X
deepseek_r1,23,B,B,B,B,B,B,B,B,B,B,B
deepseek_r1,24,B,X,X,X,X,X,X,X,X,X,X
deepseek_r1,25,E,C,C,C,C,C,C,C,C,C,C
deepseek_r1,26,E,E,E,E,E,E,E,E,E,E,E
deepseek_r1,27,D,B,B,B,B,B,B,B,B,B,B
deepseek_r1,28,A,X,E,X,E,X,E,X,E,X,E
deepseek_r1,29,D,X,X,X,X,X,X,X,X,X,X
deepseek_r1,30,E,E,E,E,E,E,E,E,E,E,E
deepseek_r1,31,A,A,A,A,A,A,A,A,A,A,A
deepseek_r1,32,C,E,C,C,C,D,E,B,E,B,B
deepseek_r1,34,D,D,D,D,D,D,D,D,D,D,D
deepseek_r1,35,D,D,D,D,D,X,D,D,D,D,D
