11/07 a 12/07,Gabarito,Índice de Facilidade (Valor),Índice de Facilidade (Classificação),Índice de Discriminação (Ponto-Bisserial) (Valor),Índice de Discriminação (Ponto-Bisserial) (Classificação),o4-mini,o4-mini,o4-mini,o4-mini,o4-mini,o4-mini,o4-mini,o4-mini,o4-mini,o4-mini,,,o4-mini,Acertou tudo,Gabarito,Índice de Facilidade (Valor),Índice de Facilidade (Classificação),Índice de Discriminação (Ponto-Bisserial) (Valor),Índice de Discriminação (Ponto-Bisserial) (Classificação),,,,,,,,,,
,Gabarito,Índice de Facilidade (Valor),Índice de Facilidade (Classificação),Índice de Discriminação (Ponto-Bisserial) (Valor),Índice de Discriminação (Ponto-Bisserial) (Classificação),o3,o3,o3,o3,o3,o3,o3,o3,o3,o3,,,,Acertou tudo,Gabarito,Índice de Facilidade (Valor),Índice de Facilidade (Classificação),Índice de Discriminação (Ponto-Bisserial) (Valor),Índice de Discriminação (Ponto-Bisserial) (Classificação),,,,,,,,,,
9,E,0.41,Médio,0.24,Médio,E,E,E,E,E,E,E,E,E,E,10,1,,9,E,0.41,Médio,0.24,Médio,E,E,E,E,E,E,E,E,E,E
10,B,0.40,Difícil,0.40,Muito bom,B,B,B,B,B,B,B,B,B,B,10,1,,10,B,0.40,Difícil,0.40,Muito bom,B,B,B,B,B,B,B,B,B,B
11,D,0.64,Fácil,0.47,Muito bom,D,D,D,D,D,D,D,D,D,D,10,1,,11,D,0.64,Fácil,0.47,Muito bom,D,D,D,D,D,D,D,D,D,D
12,B,0.14,Muito difícil,0.04,Fraco,B,B,B,B,B,B,B,B,B,B,10,1,,12,B,0.14,Muito difícil,0.04,Fraco,B,B,B,B,B,B,B,B,B,B
13,E,0.20,Difícil,-0.04,Fraco,D,D,D,D,D,D,D,D,D,D,0,1,,14,C,0.25,Difícil,0.26,Médio,C,C,C,C,C,C,C,C,C,C
14,C,0.25,Difícil,0.26,Médio,C,C,C,C,C,C,C,C,C,C,10,1,,15,C,0.51,Médio,0.29,Médio,C,C,C,C,C,C,C,C,C,C
15,C,0.51,Médio,0.29,Médio,C,C,C,C,C,C,C,C,C,C,10,1,,17,C,0.12,Muito difícil,-0.01,Fraco,C,C,C,C,C,C,C,C,C,C
16,B,0.63,Fácil,0.37,Bom,B,C,B,C,C,B,B,B,B,B,7,0,,18,E,0.42,Médio,0.31,Bom,E,E,E,E,E,E,E,E,E,E
17,C,0.12,Muito difícil,-0.01,Fraco,C,C,C,C,C,C,C,C,C,C,10,1,,19,D,0.38,Difícil,0.26,Médio,D,D,D,D,D,D,D,D,D,D
18,E,0.42,Médio,0.31,Bom,E,E,E,E,E,E,E,E,E,E,10,1,,20,A,0.35,Difícil,0.53,Muito bom,A,A,A,A,A,A,A,A,A,A
19,D,0.38,Difícil,0.26,Médio,D,D,D,D,D,D,D,D,D,D,10,1,,23,C,0.45,Médio,0.28,Médio,C,C,C,C,C,C,C,C,C,C
20,A,0.35,Difícil,0.53,Muito bom,A,A,A,A,A,A,A,A,A,A,10,1,,26,A,0.15,Muito difícil,0.23,Médio,A,A,A,A,A,A,A,A,A,A
21,E,0.10,Muito difícil,-0.08,Fraco,D,E,D,D,D,D,D,D,D,E,2,0,,27,D,0.51,Médio,0.45,Muito bom,D,D,D,D,D,D,D,D,D,D
22,A,0.53,Médio,0.38,Bom,A,A,C,A,A,A,C,A,A,A,8,0,,28,B,0.34,Difícil,0.34,Bom,B,B,B,B,B,B,B,B,B,B
23,C,0.45,Médio,0.28,Médio,C,C,C,C,C,C,C,C,C,C,10,1,,30,E,0.45,Médio,0.37,Bom,E,E,E,E,E,E,E,E,E,E
24,E,0.28,Difícil,0.33,Bom,E,A,A,A,A,A,A,A,A,A,1,0,,31,E,0.23,Difícil,0.37,Bom,E,E,E,E,E,E,E,E,E,E
25,B,0.19,Difícil,-0.05,Fraco,D,D,D,D,D,D,D,D,D,D,0,1,,32,A,0.17,Difícil,0.02,Fraco,A,A,A,A,A,A,A,A,A,A
26,A,0.15,Muito difícil,0.23,Médio,A,A,A,A,A,A,A,A,A,A,10,1,,34,C,0.23,Difícil,0.20,Médio,C,C,C,C,C,C,C,C,C,C
27,D,0.51,Médio,0.45,Muito bom,D,D,D,D,D,D,D,D,D,D,10,1,,35,D,0.51,Médio,0.48,Muito bom,D,D,D,D,D,D,D,D,D,D
28,B,0.34,Difícil,0.34,Bom,B,B,B,B,B,B,B,B,B,B,10,1,,,,,,,,,,,,,,,,,
30,E,0.45,Médio,0.37,Bom,E,E,E,E,E,E,E,E,E,E,10,1,,Errou tudo,,,,,,,,,,,,,,,
31,E,0.23,Difícil,0.37,Bom,E,E,E,E,E,E,E,E,E,E,10,1,,13,E,0.20,Difícil,-0.04,Fraco,D,D,D,D,D,D,D,D,D,D
32,A,0.17,Difícil,0.02,Fraco,A,A,A,A,A,A,A,A,A,A,10,1,,25,B,0.19,Difícil,-0.05,Fraco,D,D,D,D,D,D,D,D,D,D
34,C,0.23,Difícil,0.20,Médio,C,C,C,C,C,C,C,C,C,C,10,1,,,,,,,,,,,,,,,,,
35,D,0.51,Médio,0.48,Muito bom,D,D,D,D,D,D,D,D,D,D,10,1,,Variou +2 opções,,,,,,,,,,,,,,,
Acertos,,,,,,22,21,20,20,20,21,20,21,21,22,"20,8","84,00%",,Nenhum,,,,,,,,,,,,,,,
Percentual de Acerto,,,,,,"88,0%","84,0%","80,0%","80,0%","80,0%","84,0%","80,0%","84,0%","84,0%","88,0%","83,2%",,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10/07/2025,11/07/25,,,,,,,,,,,,Deepseek - V3,,,,,,,,,,,,,,,
,Gabarito,Índice de Facilidade (Valor),Índice de Facilidade (Classificação),Índice de Discriminação (Ponto-Bisserial) (Valor),Índice de Discriminação (Ponto-Bisserial) (Classificação),Deepseek - V3,Deepseek - V3,Deepseek - V3,Deepseek - V3,Deepseek - V3,Deepseek - V3,Deepseek - V3,Deepseek - V3,Deepseek - V3,Deepseek - V3,,,,Acertou tudo,Gabarito,Índice de Facilidade (Valor),Índice de Facilidade (Classificação),Índice de Discriminação (Ponto-Bisserial) (Valor),Índice de Discriminação (Ponto-Bisserial) (Classificação),,,,,,,,,,
9,E,0.41,Médio,0.24,Médio,D,D,C,D,D,E,C,E,C,D,2,0,,10,B,0.40,Difícil,0.40,Muito bom,B,B,B,B,B,B,B,B,B,B
10,B,0.40,Difícil,0.40,Muito bom,B,B,B,B,B,B,B,B,B,B,10,1,,14,C,0.25,Difícil,0.26,Médio,C,C,C,C,C,C,C,C,C,C
11,D,0.64,Fácil,0.47,Muito bom,E,X,X,X,X,X,A,X,E,X,0,0,,15,C,0.51,Médio,0.29,Médio,C,C,C,C,C,C,C,C,C,C
12,B,0.14,Muito difícil,0.04,Fraco,B,B,D,B,B,B,D,B,D,B,7,0,,17,C,0.12,Muito difícil,-0.01,Fraco,C,C,C,C,C,C,C,C,C,C
13,E,0.20,Difícil,-0.04,Fraco,D,D,D,D,D,D,D,D,D,D,0,1,,19,D,0.38,Difícil,0.26,Médio,D,D,D,D,D,D,D,D,D,D
14,C,0.25,Difícil,0.26,Médio,C,C,C,C,C,C,C,C,C,C,10,1,,20,A,0.35,Difícil,0.53,Muito bom,A,A,A,A,A,A,A,A,A,A
15,C,0.51,Médio,0.29,Médio,C,C,C,C,C,C,C,C,C,C,10,1,,23,C,0.45,Médio,0.28,Médio,C,C,C,C,C,C,C,C,C,C
16,B,0.63,Fácil,0.37,Bom,E,C,A,A,C,B,E,B,A,X,2,0,,26,A,0.15,Muito difícil,0.23,Médio,A,A,A,A,A,A,A,A,A,A
17,C,0.12,Muito difícil,-0.01,Fraco,C,C,C,C,C,C,C,C,C,C,10,1,,28,B,0.34,Difícil,0.34,Bom,B,B,B,B,B,B,B,B,B,B
18,E,0.42,Médio,0.31,Bom,E,E,E,E,X,E,E,E,E,E,9,0,,30,E,0.45,Médio,0.37,Bom,E,E,E,E,E,E,E,E,E,E
19,D,0.38,Difícil,0.26,Médio,D,D,D,D,D,D,D,D,D,D,10,1,,32,A,0.17,Difícil,0.02,Fraco,A,A,A,A,A,A,A,A,A,A
20,A,0.35,Difícil,0.53,Muito bom,A,A,A,A,A,A,A,A,A,A,10,1,,35,D,0.51,Médio,0.48,Muito bom,D,D,D,D,D,D,D,D,D,D
21,E,0.10,Muito difícil,-0.08,Fraco,E,E,E,E,X,E,E,D,D,E,7,0,,,,,,,,,,,,,,,,,
22,A,0.53,Médio,0.38,Bom,A,A,A,X,A,A,A,A,A,X,8,0,,Errou tudo,,,,,,,,,,,,,,,
23,C,0.45,Médio,0.28,Médio,C,C,C,C,C,C,C,C,C,C,10,1,,11,D,0.64,Fácil,0.47,Muito bom,E,X,X,X,X,X,A,X,E,X
24,E,0.28,Difícil,0.33,Bom,X,E,E,E,X,E,E,E,E,E,8,0,,13,E,0.20,Difícil,-0.04,Fraco,D,D,D,D,D,D,D,D,D,D
25,B,0.19,Difícil,-0.05,Fraco,D,D,D,D,D,D,D,D,D,D,0,1,,25,B,0.19,Difícil,-0.05,Fraco,D,D,D,D,D,D,D,D,D,D
26,A,0.15,Muito difícil,0.23,Médio,A,A,A,A,A,A,A,A,A,A,10,1,,,,,,,,,,,,,,,,,
27,D,0.51,Médio,0.45,Muito bom,D,X,D,D,X,D,D,X,X,D,6,0,,Variou +2 opções,,,,,,,,,,,,,,,
28,B,0.34,Difícil,0.34,Bom,B,B,B,B,B,B,B,B,B,B,10,1,,9,E,0.41,Médio,0.24,Médio,D,D,C,D,D,E,C,E,C,D
30,E,0.45,Médio,0.37,Bom,E,E,E,E,E,E,E,E,E,E,10,1,,11,D,0.64,Fácil,0.47,Muito bom,E,X,X,X,X,X,A,X,E,X
31,E,0.23,Difícil,0.37,Bom,X,E,D,B,C,E,E,B,C,X,3,0,,16,B,0.63,Fácil,0.37,Bom,E,C,A,A,C,B,E,B,A,X
32,A,0.17,Difícil,0.02,Fraco,A,A,A,A,A,A,A,A,A,A,10,1,,21,E,0.10,Muito difícil,-0.08,Fraco,E,E,E,E,X,E,E,D,D,E
34,C,0.23,Difícil,0.20,Médio,C,X,C,X,A,C,C,X,X,C,5,0,,31,E,0.23,Difícil,0.37,Bom,X,E,D,B,C,E,E,B,C,X
35,D,0.51,Médio,0.48,Muito bom,D,D,D,D,D,D,D,D,D,D,10,1,,34,C,0.23,Difícil,0.20,Médio,C,X,C,X,A,C,C,X,X,C
Acertos,,,,,,18,18,18,17,14,22,19,18,15,18,"17,7","56,00%",,,,,,,,,,,,,,,,,
Percentual de Acerto,,,,,,"72,0%","72,0%","72,0%","68,0%","56,0%","88,0%","76,0%","72,0%","60,0%","72,0%","70,8%",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11/07/2025,14/07/2025,,,,,,,,,,,,Gemini 2.5 Pro,,,,,,,,,,,,,,,
,Gabarito,Índice de Facilidade (Valor),Índice de Facilidade (Classificação),Índice de Discriminação (Ponto-Bisserial) (Valor),Índice de Discriminação (Ponto-Bisserial) (Classificação),Gemini 2.5 Pro,Gemini 2.5 Pro,Gemini 2.5 Pro,Gemini 2.5 Pro,Gemini 2.5 Pro,Gemini 2.5 Pro,Gemini 2.5 Pro,Gemini 2.5 Pro,Gemini 2.5 Pro,Gemini 2.5 Pro,,,,Acertou tudo,Gabarito,Índice de Facilidade (Valor),Índice de Facilidade (Classificação),Índice de Discriminação (Ponto-Bisserial) (Valor),Índice de Discriminação (Ponto-Bisserial) (Classificação),,,,,,,,,,
9,E,0.41,Médio,0.24,Médio,E,E,B,E,E,E,E,E,E,E,9,,,10,B,0.40,Difícil,0.40,Muito bom,B,B,B,B,B,B,B,B,B,B
10,B,0.40,Difícil,0.40,Muito bom,B,B,B,B,B,B,B,B,B,B,10,,,14,C,0.25,Difícil,0.26,Médio,C,C,C,C,C,C,C,C,C,C
11,D,0.64,Fácil,0.47,Muito bom,D,D,D,D,D,D,D,D,D,C,9,,,17,C,0.12,Muito difícil,-0.01,Fraco,C,C,C,C,C,C,C,C,C,C
12,B,0.14,Muito difícil,0.04,Fraco,B,B,B,B,B,B,B,B,D,B,9,,,18,E,0.42,Médio,0.31,Bom,E,E,E,E,E,E,E,E,E,E
13,E,0.20,Difícil,-0.04,Fraco,D,D,D,D,D,D,D,D,D,D,0,,,19,D,0.38,Difícil,0.26,Médio,D,D,D,D,D,D,D,D,D,D
14,C,0.25,Difícil,0.26,Médio,C,C,C,C,C,C,C,C,C,C,10,,,20,A,0.35,Difícil,0.53,Muito bom,A,A,A,A,A,A,A,A,A,A
15,C,0.51,Médio,0.29,Médio,C,C,C,C,C,C,C,C,A,C,9,,,22,A,0.53,Médio,0.38,Bom,A,A,A,A,A,A,A,A,A,A
16,B,0.63,Fácil,0.37,Bom,A,C,C,C,C,C,C,C,X,A,0,,,23,C,0.45,Médio,0.28,Médio,C,C,C,C,C,C,C,C,C,C
17,C,0.12,Muito difícil,-0.01,Fraco,C,C,C,C,C,C,C,C,C,C,10,,,26,A,0.15,Muito difícil,0.23,Médio,A,A,A,A,A,A,A,A,A,A
18,E,0.42,Médio,0.31,Bom,E,E,E,E,E,E,E,E,E,E,10,,,27,D,0.51,Médio,0.45,Muito bom,D,D,D,D,D,D,D,D,D,D
19,D,0.38,Difícil,0.26,Médio,D,D,D,D,D,D,D,D,D,D,10,,,28,B,0.34,Difícil,0.34,Bom,B,B,B,B,B,B,B,B,B,B
20,A,0.35,Difícil,0.53,Muito bom,A,A,A,A,A,A,A,A,A,A,10,,,32,A,0.17,Difícil,0.02,Fraco,A,A,A,A,A,A,A,A,A,A
21,E,0.10,Muito difícil,-0.08,Fraco,D,D,D,D,D,D,D,D,D,D,0,,,34,C,0.23,Difícil,0.20,Médio,C,C,C,C,C,C,C,C,C,C
22,A,0.53,Médio,0.38,Bom,A,A,A,A,A,A,A,A,A,A,10,,,35,D,0.51,Médio,0.48,Muito bom,D,D,D,D,D,D,D,D,D,D
23,C,0.45,Médio,0.28,Médio,C,C,C,C,C,C,C,C,C,C,10,,,,,,,,,,,,,,,,,,
24,E,0.28,Difícil,0.33,Bom,A,A,A,A,A,A,A,A,A,A,0,,,Errou tudo,,,,,,,,,,,,,,,
25,B,0.19,Difícil,-0.05,Fraco,D,D,D,D,D,D,D,D,D,D,0,,,13,E,0.20,Difícil,-0.04,Fraco,D,D,D,D,D,D,D,D,D,D
26,A,0.15,Muito difícil,0.23,Médio,A,A,A,A,A,A,A,A,A,A,10,,,16,B,0.63,Fácil,0.37,Bom,A,C,C,C,C,C,C,C,X,A
27,D,0.51,Médio,0.45,Muito bom,D,D,D,D,D,D,D,D,D,D,10,,,21,E,0.10,Muito difícil,-0.08,Fraco,D,D,D,D,D,D,D,D,D,D
28,B,0.34,Difícil,0.34,Bom,B,B,B,B,B,B,B,B,B,B,10,,,24,E,0.28,Difícil,0.33,Bom,A,A,A,A,A,A,A,A,A,A
30,E,0.45,Médio,0.37,Bom,A,A,D,E,E,E,E,E,A,E,6,,,25,B,0.19,Difícil,-0.05,Fraco,D,D,D,D,D,D,D,D,D,D
31,E,0.23,Difícil,0.37,Bom,E,E,C,E,E,E,E,E,E,E,9,,,,,,,,,,,,,,,,,,
32,A,0.17,Difícil,0.02,Fraco,A,A,A,A,A,A,A,A,A,A,10,,,Variou +2 opções,,,,,,,,,,,,,,,
34,C,0.23,Difícil,0.20,Médio,C,C,C,C,C,C,C,C,C,C,10,,,16,B,0.63,Fácil,0.37,Bom,A,C,C,C,C,C,C,C,X,A
35,D,0.51,Médio,0.48,Muito bom,D,D,D,D,D,D,D,D,D,D,10,,,30,E,0.45,Médio,0.37,Bom,A,A,D,E,E,E,E,E,A,E
Acertos,,,,,,19,19,17,20,20,20,20,20,17,19,"19,1",,,,,,,,,,,,,,,,,,
Percentual de Acerto,,,,,,"76,0%","76,0%","68,0%","80,0%","80,0%","80,0%","80,0%","80,0%","68,0%","76,0%","76,4%",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,o3-mini-high,o3-mini,4o,gemini-2.0 Flash Thinking Experimental,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,X,X,D,C,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,D,X,B,B,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,C,C,E,D,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,D,E,D,D,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,X,E,D,D,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,B,C,C,C,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,A,C,C,C,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,D,D,E,A,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,D,A,A,C,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,D,B,E,E,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,E,D,E,D,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,A,B,C,B,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,E,E,C,D,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,B,E,A,A,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,E,B,D,C,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,D,E,E,E,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,B,D,E,D,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,A,D,E,E,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,C,C,D,D,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,B,B,E,B,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,B,E,E,E,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,D,D,E,D,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,E,D,A,A,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,C,X,D,C,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,E,X,E,D,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,6,8,10,16,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"24,0%","32,0%","40,0%","64,0%",,,,,,,,,
