model,question,answer,attempt_1,attempt_2,attempt_3,attempt_4,attempt_5,attempt_6,attempt_7,attempt_8,attempt_9,attempt_10
gemini_25_pro,24,D,D,C,D,X,D,C,E,D,E,C
gemini_25_pro,25,E,E,E,E,E,E,E,E,E,E,E
gemini_25_pro,26,E,E,E,E,E,X,E,E,E,E,E
gemini_25_pro,27,C,C,C,C,C,C,C,C,C,C,C
gemini_25_pro,28,B,B,B,B,B,B,B,B,B,B,B
gemini_25_pro,29,D,D,D,D,D,D,D,D,D,D,D
gemini_25_pro,30,C,C,C,C,C,C,C,C,C,C,C
gemini_25_pro,31,D,D,D,D,D,D,D,D,D,D,D
gemini_25_pro,32,B,B,B,B,B,B,B,B,B,B,B
gemini_25_pro,33,D,D,D,D,D,E,E,D,E,E,E
gemini_25_pro,34,A,A,A,A,A,A,A,A,A,A,A
gemini_25_pro,35,A,A,B,C,X,X,A,A,A,A,A
deepseek_r1,9,C,C,C,C,C,C,C,C,C,C,C
deepseek_r1,10,D,A,D,D,D,X,A,A,A,A,X
deepseek_r1,11,E,E,E,E,E,E,E,E,E,E,E
deepseek_r1,12,C,C,C,C,C,C,C,C,C,C,C
deepseek_r1,13,C,X,X,X,X,X,X,X,X,X,X
deepseek_r1,14,E,E,E,E,E,E,E,E,C,E,E
deepseek_r1,15,B,X,X,X,X,X,X,X,X,X,X
deepseek_r1,16,E,E,D,E,C,X,E,D,B,E,E
deepseek_r1,17,C,D,D,D,D,D,D,D,D,D,D
deepseek_r1,18,A,A,A,A,A,A,A,A,A,A,A
deepseek_r1,19,A,X,X,X,X,X,X,X,X,X,X
deepseek_r1,20,E,X,E,X,X,X,X,E,E,E,X
deepseek_r1,21,B,B,B,B,B,B,B,B,B,B,B
deepseek_r1,22,A,A,A,X,A,X,X,A,A,A,A
deepseek_r1,23,B,B,B,B,B,B,B,B,B,B,B
deepseek_r1,24,D,D,D,D,D,D,D,D,D,D,D
deepseek_r1,25,E,E,E,E,E,E,E,E,E,E,E
deepseek_r1,26,E,E,E,E,E,E,E,E,E,E,E
deepseek_r1,27,C,C,C,C,C,C,C,C,C,C,C
deepseek_r1,28,B,B,B,B,B,B,B,B,B,B,B
deepseek_r1,29,D,D,D,D,D,D,D,D,D,D,D
deepseek_r1,30,C,C,C,C,C,C,C,C,C,C,C
deepseek_r1,31,D,D,D,X,D,X,X,D,D,D,D
deepseek_r1,32,B,B,B,B,B,B,B,B,B,B,B
deepseek_r1,33,D,D,D,D,E,E,D,D,E,D,E
deepseek_r1,34,A,A,X,A,X,X,A,A,X,X,A
deepseek_r1,35,A,A,A,D,A,D,A,D,X,A,A
